Trans,URL,Total_Ttl,Jbs_Fld,Trans_ID,Copyright,Pub_Worked,Total_Pub,Trans_loc,Trans_loc_lat,Trans_loc_lng,Trans_BD,Trans_DD,Age,Bio
Halil Bedii Fırat,https://teis.yesevi.edu.tr/madde-detay/firat-halil-bedii,1,Eğitim Ve Bilim -  Yayıncılık,Şair -  Yazar -  Öğretmen,True,Ali Alkan,1,"Asir Bölgesi, Suudi Arabistan",18.3,42.73333,1908,,116,Babası Arabistan Gümrükler Umum Müdürü iken Yemen’in Asir şehrinde dünyaya geldi. İlköğrenimini Bağdat ve İstanbul’da tamamladı. 1928’de İstanbul Öğretmen Okulu’nu bitirdikten sonra birçok köy ve ilde öğretmenlik yaptı.
Halil Nihat Boztepe,https://teis.yesevi.edu.tr/madde-detay/boztepe-halil-nihat,1,Kamu Ve Hukuk -  Yayıncılık,Duyûn-I Umûmiye Müdürü -  Milletvekili -  Şair,False,Yeni Edebiyat,1,Trabzon,41.005,39.72694,1882,1949,67,"Trabzon’da doğmuştur. Babası deniz işleriyle meşgul Hasan Efendi, annesi Mürüvvet Hanımdır. İlköğrenimini mahalle sıbyan mektebi ve Islahhane mektebinde tamamlamış, daha sonra askeri rüştiye ve mülki idadiye devam etmiştir. Bir dönem Türkçe öğretmenliği yaptığı Frerler Mektebi’nde derslere de devam ederek bir yandan Fransızca, diğer yandan da Farsça öğrenmiştir (Uzun 1992: 322)."
Halit Eyüp (Yenişehirlizade),https://teis.yesevi.edu.tr/madde-detay/halit-eyup-yenisehirlizade,4,Kamu Ve Hukuk -  Yayıncılık,Şair -  Yazar -  Memur,False,"Hizmet, Cemal Efendi, Matbaa-i Tahir Bey",3,İzmir,38.41273,27.13838,1877,1902,25,"Ahmet Mithat Efendi’nin damadı olan Halit Eyüp, İzmir’de doğdu. Babası Yenişehirlizade Hacı Mustafa Efendi’dir. Annesi ve diğer aile mensupları hakkında bilgiye ulaşılamamıştır. İzmir’in eski ve tanınmış bir ailesine mensup olan yazar, ilk ve orta öğrenimini burada tamamladıktan sonra İstanbul’da Mekteb-i Hukuk'u bitirdi. İyi derecede Arapça, Farsça, Fransızca ve İngilizce bilen yazar, 1896 Temmuz’unda İzmir’in çeşitli gazete ve dergilerinde yazıyor ve tanınıyorken, Esat Mahmut Efendi ile beraber “Hazine-i Celile Maliye Hukuk Müşavirliği Kalemi Müsevvitliği”ne tayin edilerek İzmir’den ayrılmıştır. 1901’de ölümünden bir yıl önce Ahmet Mithat Efendi’nin kızıyla evlenmiştir. Yine ölümünden bir gün önce Mekteb-i Hukuk’tan mezuniyet diplomasını alan Halit Eyüp’ün tahsili sırasında Baba Tahir’in çıkardığıMalûmatveServetdergilerinde yazarlık yaptığı anlaşılmaktadır. Genç yaşta yakalandığı veremden 1902 yılında İstanbul’da ölen yazarın mezarı Beykoz’dadır."
Halit Fahri Ozansoy,https://teis.yesevi.edu.tr/madde-detay/ozansoy-halit-fahri,27,Performans Sanatları -  Medya -  Yayıncılık,Şair -  Oyun Yazarı Ve Gazeteci,True,"İstanbul Şehir Tiyatrosu, Akşam Kütüphanesi, Remzi, Ahmet Sait, Kanaat Kütüphanesi, Okul ve Öğretmen Mecmuası, Ötüken, Ulusal, Muallim Ahmet Halit Yaşaroğlu Kitaphanesi, Milli Eğitim Bakanlığı, ABC, Güven, Roman, İnkılap, İstanbul Şehir Tiyatroları, Hakan, Baha",17,İstanbul,41.01384,28.94966,1891,1971,80,"Halit Fahri, 13 Temmuz 1891’de [R.1307-H.309] İstanbul’da doğar. Baba tarafından büyük dedesi Sa‘diyye şeyhi Rusçuklu Yahya Efendi’dir. Babası tıp, tarih, tiyatro ve şiir olarak basılı pek çok eseri bulunan Mehmed Fahri Paşa, annesi Zehra Hanım’dır (Parlatır, :18). Yedi yaşında annesini kaybeden Halit Fahri, Zeyrek ve Vefa semtlerindeki mahalle mekteplerinde başladığı eğitim hayatını, Sultanahmet’teki Tefeyyüz Mektebi’nde devam ettirir. Bakırköy Rüşdiyesi’nden sonra Galatasaray Mekteb-i Sultanisi’ne yatılı olarak girer (1904). Fakat hastalanınca öğrenimine ara vermek zorunda kalır. Hava değişimi için bir süre Filibe’deki amcası Ali Hilmi Bey’in yanına gider. Dönüşünde Mekteb-i Sultani’ye, arkasından İstanbul Darülfünun’u Fransız Dili Şubesi’ne devam eder. 1916’da Edebiyat Şubesi’nden imtihanla öğretmenlik hakkı alınca Muğla Sultanisi’ne edebiyat öğretmeni olarak tayin edilir. Bir yıl sonra görevi Konya Sultanisi’ne nakledilir. 1918 senesinde Vefa Sultanisi’ne geçer. Emekliliğine kadar (1956), Kadıköy, Galatasaray, İnönü ve Atatürk Kız liseleri olmak üzere İstanbul’un değişik okullarında öğretmenlik yapar. Emekli olduktan sonra gazeteciliğe ağırlık veren Halit Fahri, vefatına kadar gazete yazılarına devam eder. 23 Şubat 1971 günü kalp krizinden İstanbul’da vefat eder (Acehan, 2001: 14). Mezarı, Zincirlikuyu kabristanındaki L adası 117 numaradır."
Hasan Adnan Önelçin,https://teis.yesevi.edu.tr/madde-detay/hasan-adnan-onelcin,1,Kamu Ve Hukuk -  Yayıncılık,Şair -  Hakim,True,Tekirdağ Halkevi Yayınları,1,İzmir,38.41273,27.13838,1919,1987,68,"İzmir'de doğdu. Liseyi İzmir'de bitirdikten sonra, Ankara Üniversitesi Hukuk Fakültesi’ni bitirdi. Türkiye'nin çeşitli yerlerinde hakim olarak görev yaptı ve 1974 yılında emekli oldu. Zaman zaman Adnan Atilla takma adını da kullanan Hasan Adnan Önelçin, 18 Ekim 1987 tarihinde İstanbul'da öldü."
Hasan Ali Yücel,https://teis.yesevi.edu.tr/madde-detay/yucel-hasan-ali,2,Kamu Ve Hukuk -  Medya -  Eğitim Ve Bilim -  Yayıncılık,Öğretmen -  Müfettiş -  Bakan -  Çevirmen -  Gazeteci -  Köşe Yazarı -  Şair,True,"İstanbul Devlet Matbaası, Remzi",2,İstanbul,41.01384,28.94966,1897,1961,64,"İstanbul’da dünyaya geldi. Babası Ali Rıza Bey Telgrafhane müfettişidir. Kendisine, Posta ve Telgraf Nazırı dedesi Hasan Ali Efendi’nin ismi verildi. Eğitim hayatına Laleli’deki Yolgeçen Mektebi’nde başladı. Ailesinin Gümüşsuyu’ya taşınmasıyla Topkapı’daki Taş Mektebe ve sonrasında Mekteb-i Osmani’ye devam etti. Hemen ardından ise Vefa İdadisi’ne gönderildi. Birinci Dünya Savaşının başlamasıyla 1914 yılında, idadi son sınıfta iken askerliğe alındı. Askerlik yılları onun için hayat okulu vazifesi gördü (Boybeyi 1998: 152). Askerlik görevini tamamladıktan sonra Darülfünûn’da eğitimine devam etmeye başladı. 1918 yılında Hukuk fakültesine yazılsa da kısa bir süre sonra Edebiyat Fakültesinin Felsefe bölümüne geçti. Kadrosuna katıldığı Darülmuallimin-i Aliye’yi, ruh ve beden üzerine yaptığı çalışmasıyla üstün başarıyla bitirdi. İzmir Erkek Muallim Mektebi’ne öğretmen olarak atandı. Sırasıyla İstanbul Kuleli Askeri Lisesi ve İstanbul Erkek Lisesi’nde öğretmenlik yaptıktan sonra 1927’de bu mesleği bıraktı. Öğretmenlikten sonra eğitim kurumlarına müfettiş olarak atandı ve Salih Zeki ile birlikte Paris’teki eğitim kurumlarını incelemeye gönderildi. Paris’ten dönünce Mustafa Kemal ile birlikte eğitim kurumlarını teftişe çıktı. Uzun süre devam eden bu incelemeden bir yıl sonra kurulan Türk Dili Tetkik Cemiyeti’nde dil çalışmalarına başladı. Dahil olduğu ekiple birlikte 1382 yabancı sözcüğe Türkçe karşılık buldular (Boybeyi 1998: 153). 1932 yılında Gazi Eğitim Enstitüsü’nün müdürlüğüne, 1933’te ise Orta Tedrisat Umum Müdürlüğü’ne atandı. 1938’de ise Maarif Vekilliği’ne tayin edildi. Yedi yıl yedi ay süren Milli Eğitim Bakanlığı görevinden 1946 yılında istifa etti. Daha sonra gazetecilik, yayın hayatı ve köşe yazarlığı ile sürdürdü."
Hasan Cemil Çambel,https://teis.yesevi.edu.tr/madde-detay/cambel-hasan-cemil,4,Kamu Ve Hukuk -  Yayıncılık,Asker -  Siyaset Adamı -  Yazar -  Mütercim,True,"Erkan-ı Harbiyye-i Umumiyye, Kader, Hakimiyet-i Milliye, Kanaat",4,Çanakkale,40.15552,26.41271,1879,1967,88,"Hasan Cemil Çambel, İsmail Hakkı Baltacıoğlu'nun kendisi ile yaptığı mülakatta 1295/1879 yılında Çanakkale'de dünyaya geldiğini ifade etmiştir. Mülakatta babasının adının Şükrü, annesinin adının Behiye olduğunu söylemiştir (1943: 11). Soyadlarının ""Penbe-zade"" olmasına rağmen Atatürk tarafından kendisine verilen ""Çambel"" soyadını kullanmıştır."
Hasan Harmancı,https://teis.yesevi.edu.tr/madde-detay/hasan-harmanci,2,Yayıncılık,Yazar -  Hikayeci -  Mütercim,True,"Yapı Kredi, Çizgi Kitabevi",2,Sivas,39.74833,37.01611,1982,,42,"Sivas’ın Gürün ilçesinde doğdu, Konya Şeker-Tekke Mahallesinde büyüdü. Öykücü Abdullah Harmancı ve Mehmet Harmancı kardeşleridir. İlköğrenimini Konya'da tamamlayan yazar, 2007'de Atatürk Üniversitesi, Fen-Edebiyat Fakültesi, Arap Dili ve Edebiyatı Bölümünden mezun oldu. Yüksek lisansını Suudlu romancı Abdurrahman Munif, doktorasını Mısırlı romancı Abdurrahman eş-Şarkavi ile Kemal Tahir’in romanlarının tematik karşılaştırması üzerine yaptı. Halen Muş Alparslan Üniversitesinde öğretim üyesi olarak görev yapmaktadır."
Hasan Latif Sarıyüce,https://teis.yesevi.edu.tr/madde-detay/sariyuce-hasan-latif,1,Kamu Ve Hukuk -  Eğitim Ve Bilim -  Yayıncılık,Yazar -  Şair -  Eğitimci -  Siyasetçi,True,Kervan,1,Çorum,40.54889,34.95333,1929,2018,89,"Çorum’un Sungurlu ilçesinde bir dağ köyü olan Evci köyünde dünyaya geldi. Çocukluğu masal anlatan kadınlar arasında geçti. Kalabalık bir ailede büyüyen Sarıyüce’nin çocukluğu yoksulluk ve zorluklarla geçti. Hasan Latif, ilkokula başlar başlamaz bir ay içerisinde okuma ve yazmayı öğrendi. Okuma alışkanlığı ve edebiyata ilgisi ilkokul yıllarında halk hikayelerini okumayla başladı."
Hasan Rasim Us,https://teis.yesevi.edu.tr/madde-detay/hasan-rasim-us,1,Medya -  Yayıncılık,Gazeteci -  Yazar,True,Vakit,1,"Gördes, Manisa",38.93278,28.28942,1903,1967,64,"Burhan Burçak imzasını da kullandı. Manisa’nın Gördes ilçesinde Hacı Hasan Hulusi Efendi ile Sıdıka Hanım’ın beşinci çocuğu olarak dünyaya geldi. Babası saatçiydi ve mali durumu iyiydi. Mehmet Asım ve İsmail Hakkı (Hakkı Tarık) adında iki ağabeyi, Zarife ve Zübeyde adında iki ablası vardı. Mehmet Asım’ın Us soyadını almasından sonra Hakkı Tarık ve Hasan Rasim de bu soyadını kullanmaya başladı."
Hicabi Kırlangıç,https://teis.yesevi.edu.tr/madde-detay/hicabi-kirlangic,9,Eğitim Ve Bilim -  Yayıncılık,Şair -  Akademisyen -  Çevirmen,True,"Yöneliş, İnsan, Atlas Kitap, Ney, Ekim, Kapı, Hece",7,Amasya,40.65333,35.83306,1966,,58,Amasya'da doğdu. İlk ve orta öğrenimini bu şehirde tamamladı. Ankara Üniversitesi Dil ve Tarih-Coğrafya Fakültesinde Fars dili ve edebiyatı alanında öğrenim gördükten sonra yüksek lisans ve doktora yaptı. 1988 yılında aynı üniversitede araştırma görevlisi olarak çalışmaya başladı. Halen Doğu Dilleri ve Edebiyatları Bölümü başkanı olarak görevini sürdürmektedir.
Hilmi Yavuz,https://teis.yesevi.edu.tr/madde-detay/yavuz-hilmi,6,Medya -  Eğitim Ve Bilim -  Yayıncılık,Şair -  Öğretim Görevlisi -  Yazar -  Gazeteci,True,"Cem, Varlık, Bağlam, Meserret",4,İstanbul,41.01384,28.94966,1936,,88,"Hilmi Yavuz, 14 Nisan 1936’da İstanbul’da doğdu.
Babası Yahya Hikmet ve annesi Vecide Hanım Abdülkerimzadeler olarak bilinen bir
aileye mensup, akrabadırlar. 1898 yılında Siirt’te doğan Yahya Hikmet, Birinci
Dünya Savaşı’na katılmış ve Milli Mücadele başlamadan önce, henüz idadi/lise
öğrencisiyken Siirt’te Müdafaa-i Hukuk Cemiyeti’nin kurulmasında rol almıştır.
Cumhuriyet dönemi Türkiye’sinin ilk kaymakamlarından olan Yahya Hikmet Bey,
oğlu Hilmi Yavuz’un şahsiyetinde önemli yere sahiptir. Şiire ilgisi, babasının
evde zaman zaman Tevfik Fikret’ten, Süleyman Nesip’ten şiirler okuması ile
başlar. (Yavuz 1998: 205). Annesi Vecide Hanım, 1900 yılında dünyaya gelir.
Yahya Hikmet Yavuz’un amcası, Hacı Abdülaziz’in kızıdır. Hilmi Yavuz, annesinden
mistik anlamda etkilenir, hüznü ve lirizmi ondan edinir; bu nedenle Vecide
Hanım’ı daha çok şiirlerinde anar. Hilmi Yavuz babasını düzyazıya, annesini daha
çok şiire yakıştırır; buna göre babası aklı (apollonik), annesi lirizmi (dionizyak)
temsil eder (Yavuz 2005: 52-53)."
Hilmi Ziya Ülken,https://teis.yesevi.edu.tr/madde-detay/hilmi-ziya-ulken,7,Eğitim Ve Bilim -  Yayıncılık,Felsefeci -  Sosyolog -  Yazar,True,"Vakit, Milli Eğitim Bakanlığı, Türkiye, İstanbul Üniversitesi Edebiyat Fakültesi",4,İstanbul,41.01384,28.94966,1901,1974,73,"İstanbul’da doğdu. Kimyager Dr. Mehmed Ziya ile Kırım Savaşı sırasında ailesiyle Türkiye'ye göç eden Kazan'ın tanınmış müderrislerinden Kerim Hazret'in torunu Müşfike Hanım’ın oğludur. Tefeyyüz İptidai Rüştiyesi'ni, 1918 yılında İstanbul Sultanisi'ni, 1921'de Mülkiye Mektebi'ni bitirdi. Yine 1921'de Darülfünun-ı Osmani Edebiyat Fakültesi Coğrafya Kürsüsü'ne asistan olarak atandı. Burada 1923 yılında felsefe tarihi, ahlak ve sosyoloji derslerinden sertifika aldı. 1923'ten itibaren Bursa ve Ankara liselerinde öğretmenlik yaptıktan sonra 1925 yılında Maarif Vekaleti İstatistik Şubesi Müdürlüğü yaptı. 1926'da MEB Talim ve Terbiye Kurulu Tercüme Bürosu üyeliğine seçildi. Vatan hizmetini yaptıktan sonra İstanbul Çapa Kız Muallim Mektebi'nde tarih ve psikoloji, İstanbul Erkek Lisesi'nde felsefe ve tarih, İstanbul Erkek Öğretmen Okulu, Galatasaray ve Kabataş liselerinde felsefe ve sosyoloji öğretmenliği yaptı."
Hüseyin Alacatlı,https://teis.yesevi.edu.tr/madde-detay/huseyin-alacatli,5,Eğitim Ve Bilim -  Yayıncılık,Akademisyen -  Şair,True,Akçağ,1,Erzincan,39.73919,39.49015,1967,2002,35,"Erzincan’ın Refahiye ilçesinin Alacaatlı Köyü’nde doğdu. Babasının memuriyeti nedeniyle dört yaşından itibaren Türkiye’nin çeşitli yörelerini görme ve buralarda yaşama imkanı buldu. Ağrı-Tutak’ta başladığı eğitim hayatına Ankara, Van ve İstanbul’da devam etti. Alacatlı, Gazi Üniversitesi Gazi Eğitim Fakültesi Türk Dili ve Edebiyatı Eğitimi Bölümünden 1989’da mezun oldu. Aynı yıl Isparta-Yalvaç Atatürk Lisesine edebiyat öğretmeni olarak atandı. 1992’de İstanbul’da askerlik görevini tamamladıktan sonra Atatürk Üniversitesi Kazım Karabekir Eğitim Fakültesi Türk Dili ve Edebiyatı Eğitimi Bölümüne araştırma görevlisi olarak girdi. Nazir Akalın, 1992’de Erzurum’da tanıştığı Alacatlı’nın portresini şu cümlelerle çizer:“Yakışıklı, sevecen, mütevazı, utangaç, güzel ve güleç yüzlü, muhatabına emniyet telkin eden ve kendisine saygı duygusu uyandıran pırlanta gibi bir gençti. Şana, şöhrete metelik vermeyen bir delikanlıydı. (…) Maddi hiçbir tutkusu yoktu. Arkadaş canlısıydı. Cömertti. Vefalıydı. Çalışkandı, iyi bir ilim adamıydı. Edebiyata aşina, şiire aşık bir hilkat harikasıydı. Şairdi; ince ve hüzünlü bir sesi vardı. (…) Rahat ve kendinden emin bir söyleyişi vardı. Ne yaptığının ve neyi dillendirdiğinin farkındaydı(2003, s.171). Evli ve Muhammet Can adında bir oğlu olan Hüseyin Alacatlı’nın şiirleri, 1987’den itibarenDergah, Hece, İlkyaz, Kanat, Karçiçeği, Milli Eğitim,Palandöken Sanat Edebiyat,VarideveYaba Öyküdergilerinde yayımlandı. Alacatlı, 23 Mayıs 2002’de Erzurum’da kendi isteğiyle bu dünyaya veda etti. Ankara Karşıyaka Mezarlığına defnedildi."
Hüseyin Daniş,https://teis.yesevi.edu.tr/madde-detay/huseyin-danis,3,Medya -  Yayıncılık,Gazeteci -  Yazar -  Şair.,False,"Matbaa-i Hayriye, Kanaat, Evkaf",3,İstanbul,41.01384,28.94966,1870,1943,73,"Hüseyin Daniş Pedram, İran asıllıdır. Ailesi, Isfahan'dan İstanbul'a yerleşmiş bir tüccar ailesidir. Babası, Mehmed Haşim ibn Abdülmecid Bey, annesi Mustafa Fazıl Paşa hanedanından Çerkes Fatma Hanım'dır (İnal, 1999). İlk ve orta öğrenimini İstanbul'da tamamladı, Mülkiye'ye bir müddet devam ettikten sonra Institution Française adlı Fransız okuluna gitti. Buradaki eğitimini yarım bırakarak, İran'a döndü ve Debistan-ı İraniyan'da hem öğrenci hem de hoca olarak bulundu (İnal, 1999). Horasani ve Mehdi-i Tebrizi'den Arapça ve Farsça eğitimi aldı. Kendisini hattatlıkta da geliştiren şair, Mirza Akahan-ı Kirmani, Mirza Habib-i Isfahani’nin meclislerinde göründü, devrin önemli teorisylenlerinden Cemaleddin-i Efgani'nin sohbetlerine katıldı. 1894'te İstanbul'a tekrar döndü veİkdam'ın yazı kadrosunda yer aldı.İkdamveMalumat'takaleme aldığı yazılarla Klasikler Tartışması'nda önemli rol oynadı (Kaplan 1998).Servet-i Fünûn'da Türkçe şiirleri yayımlandı. Damat Mahmud Paşa'nın mahdumları Prens Sabahattin ve Lutfullah'a hocalık yapan şair, aileyle birlikte bir yıl kadar, Avrupa'nın çeşitli ülkelerinde ve Mısır'da bulundu, bazı oryantalistlerle tanıştı. İstanbul'a dönüşünde Duyûn-i Umumiye'de tercümanlık ve daha sonra aynı kurumda müdürlük, Galatasaray Lisesi'nda Farsça hocalığı, Darülfünûn'da Fars edebiyatı tarihi hocalığı yaptı (Yazıcı, 1998: 540). Milli Mücadele döneminde Türkler aleyhine yaptığı konuşmalara öğrencilerin tepki vermesi sonucu, kendisi gibi birkaç hocayla birlikte Darülfünûn'dan istifaya zorlandı. Ali Ekber Han Dihhoda'yla on sayı kadar Farsça dergiSurûş'u çıkardı. Osmanlı Bankası'nda tercümanlık, Tahran Üniversitesi'nde edebiyat hocalığı görevlerinde bulundu, İran elçiliğinde basın ateşeliği yaptı. Bu görevde iken 1943 yılında öldü (Kolcu 2005: 247)."
Hüseyin Hatemi,https://teis.yesevi.edu.tr/madde-detay/hatemi-huseyin,11,Kamu Ve Hukuk -  Yayıncılık,Şair -  Yazar -  Çevirmen -  Hukukçu,True,"Yeni, Nazir Akbasam, Kutulmuş, Düşünce, Çağrı, İnsan, Bir, Seçkin, İletişim, İşaret",10,İstanbul,41.01384,28.94966,1938,,86,"Tam adı ""Hüseyin Perviz Hatemi"" idi. İlk kitaplarında da kullandığı Perviz adını 1979'da mahkeme kararıyla bıraktı, daha sonra Hüseyin Hatemi imzasını kullanmaya başladı. Cemile Bilali Hanım ile kırtasiyeci Ali Asgar Hatemi'nin oğlu olarak İstanbul'da doğdu. Şair, denemeci ve doktor Hasan Hüsrev Hatemi ikiz kardeşidir. Talatpaşa ve Şişli Ortaokulunda ilköğrenimini gördü, daha sonra Atatürk Erkek Lisesinden mezun oldu. 1960'ta İstanbul Üniversitesi Hukuk Fakültesini bitirdi. Aynı okulda 1976'da doçent, 1981'de profesör oldu. 26 ağustos 1972 tarihinde avukat Kezban Hatemi ile evlendi. 1983'te 1402 sayılı yasa uyarınca üniversiteden uzaklaştırıldı. 1990'dan itibaren döndüğü üniversite öğretim üyeliği görevinden 2006'da yaş haddi sebebiyle emekliye ayrıldı. Alexander Von Humboldt Derneği ve Alman-Türk Hukukçular Derneği üyesidir. Evli ve bir çocuk babası olan Hüseyin Hatemi, halen İstanbul'da yaşamakta, hukukla ilgili çalışmalarını sürdürmekte, çeşitli özel üniversitelerde hukuk dersleri vermektedir."
Hüseyin Nihal Atsız,https://teis.yesevi.edu.tr/madde-detay/atsiz-huseyin-nihal,5,Eğitim Ve Bilim -  Yayıncılık,Şair -  Yazar -  Tarihçi -  İDeolog,True,"Küçükaydın, Milli Eğitim Bakanlığı, Tercüman",3,İstanbul,41.01384,28.94966,1905,1975,70,"İstanbul’da doğdu. Asıl adı Hüseyin Nihal Çiftçioğlu’dur. Atsız soyadını daha sonra almıştır. Babası Mehmet Nail Bey, annesi Fatma Zehra Hanım'dır. Baba tarafından Gümüşhane’nin Torul ilçesinden, anne tarafından Trabzon’un Kadıoğulları ailesindendir. Hüseyin Nihal, ilkokula İstanbul’da başladı. Kadıköy'deki Fransız ve Alman okullarına bir müddet devam etti. Babası Süveyş'e tayin edildi. Burada kısa bir süre Fransız okuluna gitti. İstanbul'a döndükten sonra istikrarlı bir eğitim hayatı olmadı. Birçok okul değiştirdi. Sırasıyla Cezayirli Gazi Hasan Paşa Okulu, Kadıköy Osmanlı İttihat Mektebi ve Kadıköy Sultanisi'ne devam etti. Nihayet 1922'de İstanbul Sultanisi'nden mezun oldu. Aynı yıl Tıp Fakültesini kazandı ve oradan da Askeri Tıbbiyeye geçti. Ancak üçüncü sınıfta Ziya Gökalp’ın cenazesinin kaldırıldığı gün adının karıştığı bir kavgadan dolayı buradan ayrılmak zorunda kaldı. Bir müddet farklı işlerde çalıştı. İstanbul Darülfünunu’nun Edebiyat Fakültesine ve yatılı kısmı olan Yüksek Muallim Mektebi’ne 1926’da kayıt oldu. Bu arada tecil isteği kabul edilmeyince İstanbul’da er olarak askerlik görevini yerine getirdi. Edebiyat Fakültesinden 1930'da mezun olarak eğitim hayatını noktaladı. 1931’de Mehpare Hanım'la evlenen Hüseyin Nihal Atsız, 1935’te eşinden ayrıldı. 1936’da üniversiteden dava arkadaşı Bedriye Hanım'la evlendi. Bu evliliğinden iki oğlu dünyaya geldi. Hüseyin Nihal Atsız’ın iş hayatı da öğrenciliği gibi istikrarsızdır. Bu durum onun mizacıyla bağlantılı olduğu kadar düşüncelerini açıkladığı yazıları ve konuşmalarından duyulan rahatsızlıkla da ilgilidir. Meslek hayatına, Fuat Köprülü’nün isteği ile Edebiyat Fakültesi Türkiyat Enstitüsü'nde asistan olarak başlayan Hüseyin Nihal Atsız, 1933’te o dönemki Milli Eğitim Bakanı Dr. Reşat Galip ile Prof. Zeki Velidi Togan arasında yaşanan bir tartışmada hocası Zeki Velidi Togan’ı destekleyen bir telgrafı bakanlığa gönderince üniversitedeki görevinden alınıp Türkçe öğretmeni olarak Malatya’ya gönderildi. Burada çok kısa süre kalan Hüseyin Nihal Atsız, edebiyat öğretmeni olarak Edirne Lisesi’ne atandı. Edirne’de çıkardığıOrhundergisinde Türk Tarih Kurumu’nun hazırladığı tarih kitaplarındaki yanlışları ağır bir dille eleştirince aynı yıl vekalet emrine alınarak İstanbul’a geldi. 1934-1938 yılları arasında Deniz Gedikli Okulu'nda çalıştı. Yönetimle düştüğü fikir ayrılığı yüzünden buradaki görevinden ihraç edildi. 1938'den 1944'e kadar İstanbul'da çeşitli özel liselerde edebiyat öğretmenliği yaptı. Daha sonra kendisine yöneltilen “lrkcılık-Turancılık” suçlamasıyla 9 Mayıs 1944 tarihinde tutuklandı. Yaklaşık bir yıl sonra bu suçlamadan beraat etti. Başka suçlamalarla muhatap olan ve hepsinden beraat eden Hüseyin Nihal Atsız’a 1949’a kadar resmi bir görev verilmedi. 1949'da öğretmen kadrosu ile Süleymaniye Kütüphanesine gönderildi. 1950-1952 tarihleri arasında ise Haydarpaşa Lisesi'nde çalıştı. Yaptığı bir konuşmadan duyulan rahatsızlık üzerine tekrar öğretmen kadrosuyla Süleymaniye Kitaplığına gönderildi. 1969'da en uzun süre kaldığı bu görevdeyken emekli oldu. Emekli olduktan sonra bütün zamanını inandığı davaya ayırdı. “Milliyetçi-Türkçü-Turancı” çizgide çalışmalar yaptı. Çeşitli gazete ve dergilerde yazılar yazdı. Aynı çizgideki derneklerin kurucuları arasında yer aldı; konferanslar verdi. Bu yüzden oldukça fazla sıkıntılar yaşadı.Ötüken’de yazdığı yazılardan dolayı hakkında verilen mahkûmiyet kararı kesinleşince tekrar tutuklandı. Onun eserlerinden feyz alanların yoğun başvurusu üzerine Cumhurbaşkanı Fahri Korutürk tarafından 1974’te affedildi (Sertkaya 1987: 1-11). Bütün bu meşakkatli hayatına rağmen hiçbir zaman vazgeçmediği tarih araştırmalarına devam etti.Ruh Adam’ın devamı olacak dediğiYalnız Adamisimli romanının fikri hazırlığı içindeyken kalp krizi nedeniyle İstanbul’da vefat etti."
Hüseyin Rahmi Gürpınar,https://teis.yesevi.edu.tr/madde-detay/gurpinar-huseyin-rahmi,6,Kamu Ve Hukuk -  Yayıncılık,Yazar -  Şair -  Milletvekili,False,"Kitabhane-i Ebuzziya, Tercüman-ı Hakikat, Matbaa-i Amire, Artin Asaduryan Şirket-i Mürettibiye, İkdam",5,İstanbul,41.01384,28.94966,1864,1944,80,"İstanbul Ayaspaşa’da doğmuştur. Babası Plevne savunmasında Gazi Osman Paşa ile birlikte Ruslara esir düşen, bir müddet hünkar yaverliğinde bulunan ve Erzurum müstahkem mevki kumandanı iken vefat eden Mehmet Sait Paşa’dır. Annesi Ayşe Sıdıka Hanım, Safrancılar Kethüdası Hacı Ahmet Efendi’nin oğlu İbrahim Efendi’nin kızıdır. Üç yaşındayken annesini kaybeden Hüseyin Rahmi, bir süre babasının görev yaptığı Girit’te kalmış, orada okula başlamıştır. Altı yaşındayken İstanbul’a dönmüş, anneannesi ve teyzesinin Aksaray Yakupağa Mahallesi’nde bulunan konağında yaşamıştır. Önce Aksaray’da Yakupağa (Ağayokuşu) Mahalle Mektebi’ne, sonrasında Mahmudiye Rüşdiyesi’nin sıbyan ve rüşdiye kısmına gönderilmiştir. Bir süre devlet dairelerine katip yetiştiren Mahrec-i Aklam’da okumuştur. Mahrec-i Aklam’ın idadiye çevrilmesi üzerine, hocası Abdurrahman Şeref Efendi’nin de teşvikiyle, 1878’de Mülkiye Mektebi’ne geçmiştir. Mülkiye’nin ikinci sınıfındayken hastalanmış, bir yıl tedavi altına alınmış, sonrasında okulu bırakmak zorunda kalmıştır (1880). Tahir Bey isminde bir hocadan Fransızca dersleri almış, yazar kendi kendini yetiştirmiştir. Adliye Nezareti Umur-ı Cezaiye Kalemi’nde memurluk, İkinci Ticaret Mahkemesi’nde aza mülazımlığı ve Nafia Nezareti Tercüme Kalemi’nde katiplik görevlerinde bulunmuştur. II. Meşrutiyet’in ilanından sonra (1908) resmi görevlerini bırakarak kendini tamamen yazarlığa vermiştir. 1912’de Heybeliada’ya taşınmış, bir süre sonra adada yaptırdığı köşke yerleşerek, yengesi Aliye Hanım, yeğeni Safter Hanım ve çocukluk arkadaşı Miralay Hulûsi Bey’le birlikte yaşamıştır. Hüseyin Rahmi, TBMM’nin V. ve VI. döneminde (1936-1943) Kütahya milletvekilliği yapmıştır. VII. dönemde CHP tarafından aday gösterilmiş, ancak kazanamamıştır. Yazar, hayatı boyunca hiç evlenmemiştir. 8 Mart 1944 tarihinde Heybeliada’daki evinde vefat etmiş, Abbas Paşa Mezarlığı’na (Heybeliada) defnedilmiştir."
